"Arma";"Calibre";"nome da munição";"dano(alcance)"
"ACE31";"7.62x39mm";"AP";"48(60) | 34(63)"
"ACE31";"7.62x39mm";"BP";"58(60) | 41(63)"
"ACE31";"7.62x39mm";"HP";"81(60) | 57(63)"
"ACE31";"7.62x39mm";"LP";"63(60) | 44(63)"
"ACE31";"7.62x39mm";"PS";"58(60) | 41(63)"
"ACE31";"7.62x39mm";"T45M";"63(60) | 44(63)"
"ACE31";"7.62x39mm";"US";"58(60) | 41(63)"
"AEK";"7.62x39mm";"AP";"46(59) | 32(62)"
"AEK";"7.62x39mm";"BP";"56(59) | 39(62)"
"AEK";"7.62x39mm";"HP";"79(59) | 55(62)"
"AEK";"7.62x39mm";"LP";"61(59) | 43(62)"
"AEK";"7.62x39mm";"PS";"56(59) | 39(62)"
"AEK";"7.62x39mm";"T45M";"61(59) | 43(62)"
"AEK";"7.62x39mm";"US";"56(59) | 39(62)"
"AK-102";"5.56x45mm";"FMJ Hunting";"53(50) | 37(53)"
"AK-102";"5.56x45mm";"HP Hunting";"69(50) | 48(53)"
"AK-102";"5.56x45mm";"M193";"52(50) | 36(53)"
"AK-102";"5.56x45mm";"M855";"50(50) | 35(53)"
"AK-102";"5.56x45mm";"M855A1";"44(50) | 31(53)"
"AK-102";"5.56x45mm";"M855A2";"48(50) | 34(53)"
"AK-102";"5.56x45mm";"M995";"41(50) | 29(53)"
"AK-12";"5.45x39mm";"BP";"49(55) | 34(58)"
"AK-12";"5.45x39mm";"BS";"44(55) | 31(58)"
"AK-12";"5.45x39mm";"HP";"77(55) | 54(58)"
"AK-12";"5.45x39mm";"PP";"48(55) | 34(58)"
"AK-12";"5.45x39mm";"PRS";"63(55) | 44(58)"
"AK-12";"5.45x39mm";"PS";"57(55) | 40(58)"
"AK-74N";"5.45x39mm";"BP";"45(42) | 32(45)"
"AK-74N";"5.45x39mm";"BS";"40(42) | 28(45)"
"AK-74N";"5.45x39mm";"HP";"73(42) | 51(45)"
"AK-74N";"5.45x39mm";"PP";"44(42) | 31(45)"
"AK-74N";"5.45x39mm";"PRS";"59(42) | 41(45)"
"AK-74N";"5.45x39mm";"PS";"53(42) | 37(45)"
"AKM";"7.62x39mm";"AP";"45(54) | 32(57)"
"AKM";"7.62x39mm";"BP";"55(54) | 39(57)"
"AKM";"7.62x39mm";"HP";"78(54) | 55(57)"
"AKM";"7.62x39mm";"LP";"60(54) | 42(57)"
"AKM";"7.62x39mm";"PS";"55(54) | 39(57)"
"AKM";"7.62x39mm";"T45M";"60(54) | 42(57)"
"AKM";"7.62x39mm";"US";"55(54) | 39(57)"
"AKS-74U";"5.45x39mm";"BP";"40(33) | 28(36)"
"AKS-74U";"5.45x39mm";"BS";"35(33) | 25(36)"
"AKS-74U";"5.45x39mm";"HP";"68(33) | 48(36)"
"AKS-74U";"5.45x39mm";"PP";"39(33) | 27(36)"
"AKS-74U";"5.45x39mm";"PRS";"54(33) | 38(36)"
"AKS-74U";"5.45x39mm";"PS";"48(33) | 34(36)"
"AMB-17";"9x39mm";"7N12";"52(37) | 36(40)"
"AMB-17";"9x39mm";"7N9";"58(37) | 41(40)"
"AMB-17";"9x39mm";"SP5";"66(37) | 46(40)"
"AMB-17";"9x39mm";"SP6";"55(37) | 39(40)"
"AN-94";"5.45x39mm";"BP";"49(57) | 34(60)"
"AN-94";"5.45x39mm";"BS";"44(57) | 31(60)"
"AN-94";"5.45x39mm";"HP";"77(57) | 54(60)"
"AN-94";"5.45x39mm";"PP";"48(57) | 34(60)"
"AN-94";"5.45x39mm";"PRS";"63(57) | 44(60)"
"AN-94";"5.45x39mm";"PS";"57(57) | 40(60)"
"AR-57";"5.7x28mm";"L191";"57(51) | 40(54)"
"AR-57";"5.7x28mm";"R37.F";"80(51) | 56(54)"
"AR-57";"5.7x28mm";"R37.X";"73(51) | 51(54)"
"AR-57";"5.7x28mm";"SS190";"49(51) | 34(54)"
"AR-57";"5.7x28mm";"SS197SR";"64(51) | 45(54)"
"AR-57";"5.7x28mm";"SS198";"45(51) | 32(54)"
"AUG";"5.56x45mm";"FMJ Hunting";"57(46) | 40(49)"
"AUG";"5.56x45mm";"HP Hunting";"73(46) | 51(49)"
"AUG";"5.56x45mm";"M193";"56(46) | 39(49)"
"AUG";"5.56x45mm";"M855";"54(46) | 38(49)"
"AUG";"5.56x45mm";"M855A1";"48(46) | 34(49)"
"AUG";"5.56x45mm";"M855A2";"52(46) | 36(49)"
"AUG";"5.56x45mm";"M995";"45(46) | 32(49)"
"Banshee";"5.7x28mm";"L191";"58(40) | 41(43)"
"Banshee";"5.7x28mm";"R37.F";"81(40) | 57(43)"
"Banshee";"5.7x28mm";"R37.X";"74(40) | 52(43)"
"Banshee";"5.7x28mm";"SS190";"50(40) | 35(43)"
"Banshee";"5.7x28mm";"SS197SR";"65(40) | 46(43)"
"Banshee";"5.7x28mm";"SS198";"46(40) | 32(43)"
"BM59";"7.62x51mm";"BPZ";"66(62) | 46(65)"
"BM59";"7.62x51mm";"M61";"49(62) | 34(65)"
